kpi_name,target_value,actual_value,achievement_pct,productivity_score,utilization_rate,department_name,efficiency_index,performance_gap_value
Tickets Resolved,100,110,110,85,90,Support,1.2,-10
Sales Calls,50,45,90,70,80,Sales,0.9,5
Features Shipped,10,8,80,75,95,Engineering,0.8,2
Marketing Leads,500,600,120,90,85,Marketing,1.3,-100
Tickets Resolved,100,95,95,80,88,Support,0.95,5
Sales Calls,50,55,110,85,90,Sales,1.1,-5
Features Shipped,10,12,120,95,98,Engineering,1.2,-2
Marketing Leads,500,450,90,75,80,Marketing,0.85,50
Tickets Resolved,100,105,105,82,89,Support,1.05,-5
Sales Calls,50,50,100,80,85,Sales,1.0,0
Features Shipped,10,9,90,80,92,Engineering,0.9,1
Marketing Leads,500,520,104,85,88,Marketing,1.1,-20
Tickets Resolved,100,80,80,60,70,Support,0.7,20
Sales Calls,50,40,80,65,75,Sales,0.8,10
Features Shipped,10,10,100,85,90,Engineering,1.0,0
